point num,ROS -> PCL2 (XYZRGB/XYZ),ROS -> PCL2 (XYZRGB/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZ),ROS -> PCL2 (XYZRGBNORMAL/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL2 (XYZRGBNORMAL/NORMAL),ROS -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> PCL (XYZRGB/XYZ),PCL2 -> PCL (XYZRGB/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZ),PCL2 -> PCL (XYZRGBNORMAL/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZNORMAL),PCL2 -> PCL (XYZRGBNORMAL/NORMAL),PCL2 -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> PCL2 (XYZRGB/XYZ),PCL -> PCL2 (XYZRGB/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZ),PCL -> PCL2 (XYZRGBNORMAL/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZNORMAL),PCL -> PCL2 (XYZRGBNORMAL/NORMAL),PCL -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> ROS (XYZRGB/XYZ),PCL2 -> ROS (XYZRGB/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZ),PCL2 -> ROS (XYZRGBNORMAL/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL2 -> ROS (XYZRGBNORMAL/NORMAL),PCL2 -> ROS (XYZRGBNORMAL/XYZRGBNORMAL),ROS -> PCL (XYZRGB/XYZ),ROS -> PCL (XYZRGB/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZ),ROS -> PCL (XYZRGBNORMAL/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL (XYZRGBNORMAL/NORMAL),ROS -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> ROS (XYZRGB/XYZ),PCL -> ROS (XYZRGB/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZ),PCL -> ROS (XYZRGBNORMAL/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL -> ROS (XYZRGBNORMAL/NORMAL),PCL -> ROS (XYZRGBNORMAL/XYZRGBNORMAL)
563200,0.006,0.004,0.01,0.007,0.007,0.007,0.007,0.09,0.015,0.092,0.13,0.129,0.127,0.018,0.008,0.008,0.012,0.012,0.013,0.013,0.012,0.005,0.003,0.008,0.006,0.006,0.006,0.006,0.097,0.018,0.099,0.134,0.155,0.134,0.047,0.008,0.008,0.012,0.012,0.012,0.012,0.012,
573440,0.005,0.004,0.009,0.006,0.007,0.008,0.008,0.092,0.016,0.093,0.132,0.132,0.13,0.018,0.008,0.008,0.013,0.013,0.012,0.012,0.012,0.006,0.003,0.008,0.006,0.006,0.006,0.006,0.098,0.017,0.101,0.136,0.157,0.137,0.047,0.008,0.009,0.012,0.013,0.014,0.013,0.014,
583680,0.005,0.004,0.011,0.008,0.006,0.008,0.008,0.094,0.016,0.095,0.134,0.135,0.132,0.018,0.009,0.008,0.013,0.013,0.013,0.012,0.013,0.004,0.004,0.008,0.006,0.005,0.007,0.006,0.101,0.017,0.102,0.139,0.162,0.139,0.047,0.008,0.009,0.013,0.012,0.013,0.013,0.014,
593920,0.005,0.004,0.01,0.007,0.008,0.008,0.007,0.096,0.016,0.098,0.137,0.137,0.134,0.019,0.008,0.008,0.013,0.013,0.013,0.013,0.013,0.006,0.004,0.008,0.006,0.007,0.006,0.006,0.102,0.019,0.105,0.142,0.162,0.143,0.049,0.009,0.009,0.012,0.013,0.014,0.012,0.014,
604160,0.006,0.004,0.009,0.008,0.008,0.007,0.007,0.097,0.016,0.099,0.139,0.139,0.137,0.02,0.009,0.009,0.013,0.013,0.013,0.013,0.013,0.005,0.004,0.009,0.007,0.007,0.007,0.006,0.105,0.019,0.106,0.144,0.166,0.144,0.05,0.008,0.008,0.013,0.013,0.014,0.014,0.014,
614400,0.006,0.005,0.01,0.008,0.008,0.007,0.008,0.099,0.017,0.101,0.142,0.141,0.139,0.02,0.009,0.009,0.013,0.013,0.014,0.013,0.013,0.005,0.004,0.008,0.007,0.006,0.007,0.007,0.106,0.019,0.108,0.146,0.169,0.147,0.05,0.009,0.009,0.014,0.014,0.015,0.013,0.015,
624640,0.006,0.004,0.01,0.008,0.009,0.009,0.008,0.1,0.017,0.103,0.143,0.144,0.14,0.02,0.01,0.009,0.013,0.014,0.014,0.014,0.013,0.005,0.004,0.009,0.007,0.006,0.007,0.007,0.107,0.02,0.109,0.149,0.172,0.149,0.05,0.009,0.009,0.014,0.014,0.014,0.013,0.015,
634880,0.006,0.004,0.01,0.008,0.009,0.008,0.009,0.102,0.017,0.104,0.146,0.146,0.143,0.02,0.009,0.01,0.014,0.014,0.013,0.014,0.013,0.006,0.004,0.008,0.007,0.008,0.007,0.008,0.109,0.02,0.112,0.151,0.173,0.152,0.051,0.009,0.009,0.014,0.014,0.015,0.014,0.016,
645120,0.007,0.004,0.012,0.009,0.008,0.009,0.008,0.103,0.018,0.105,0.148,0.148,0.146,0.021,0.009,0.009,0.014,0.014,0.014,0.014,0.014,0.006,0.004,0.009,0.008,0.007,0.007,0.007,0.112,0.02,0.113,0.154,0.178,0.154,0.052,0.009,0.01,0.014,0.014,0.015,0.014,0.015,
655360,0.007,0.004,0.011,0.008,0.008,0.008,0.009,0.105,0.018,0.107,0.151,0.152,0.149,0.021,0.01,0.01,0.015,0.015,0.014,0.014,0.014,0.005,0.004,0.009,0.007,0.007,0.007,0.007,0.113,0.021,0.115,0.156,0.18,0.157,0.053,0.01,0.009,0.014,0.014,0.015,0.014,0.016,
665600,0.006,0.004,0.011,0.008,0.01,0.008,0.008,0.107,0.019,0.109,0.154,0.153,0.15,0.021,0.01,0.009,0.015,0.014,0.013,0.015,0.014,0.006,0.005,0.01,0.007,0.008,0.006,0.008,0.114,0.021,0.117,0.159,0.183,0.16,0.054,0.01,0.01,0.014,0.015,0.014,0.014,0.015,
675840,0.006,0.004,0.011,0.008,0.009,0.008,0.008,0.108,0.019,0.111,0.157,0.156,0.153,0.022,0.01,0.01,0.014,0.014,0.015,0.014,0.015,0.006,0.004,0.009,0.008,0.008,0.008,0.007,0.117,0.021,0.119,0.161,0.185,0.162,0.055,0.01,0.01,0.015,0.015,0.016,0.015,0.016,
686080,0.008,0.005,0.012,0.009,0.009,0.009,0.009,0.11,0.019,0.112,0.158,0.158,0.155,0.022,0.01,0.01,0.015,0.015,0.015,0.015,0.015,0.006,0.005,0.009,0.008,0.007,0.007,0.008,0.118,0.022,0.121,0.163,0.189,0.165,0.055,0.01,0.01,0.015,0.015,0.016,0.014,0.016,
696320,0.007,0.007,0.009,0.01,0.011,0.011,0.009,0.112,0.02,0.115,0.16,0.162,0.16,0.024,0.01,0.01,0.015,0.015,0.013,0.014,0.014,0.006,0.006,0.009,0.009,0.007,0.01,0.007,0.12,0.025,0.123,0.168,0.191,0.168,0.058,0.01,0.01,0.015,0.015,0.014,0.015,0.014,
706560,0.008,0.007,0.024,0.023,0.023,0.024,0.023,0.114,0.019,0.113,0.162,0.157,0.161,0.038,0.01,0.01,0.029,0.03,0.029,0.028,0.029,0.006,0.006,0.023,0.022,0.023,0.023,0.023,0.122,0.026,0.137,0.185,0.181,0.185,0.061,0.01,0.01,0.029,0.029,0.029,0.028,0.029,
716800,0.007,0.007,0.023,0.024,0.025,0.023,0.023,0.115,0.019,0.115,0.165,0.158,0.163,0.038,0.01,0.01,0.03,0.029,0.029,0.031,0.03,0.007,0.007,0.023,0.023,0.023,0.022,0.023,0.124,0.026,0.139,0.186,0.184,0.187,0.063,0.01,0.01,0.029,0.03,0.029,0.029,0.029,
727040,0.007,0.007,0.024,0.023,0.024,0.024,0.023,0.117,0.02,0.117,0.168,0.161,0.165,0.039,0.01,0.01,0.029,0.03,0.029,0.03,0.03,0.006,0.007,0.024,0.024,0.023,0.024,0.023,0.126,0.027,0.141,0.189,0.187,0.189,0.063,0.01,0.01,0.03,0.03,0.03,0.03,0.03,
737280,0.007,0.007,0.024,0.024,0.024,0.024,0.024,0.118,0.019,0.119,0.169,0.163,0.168,0.04,0.01,0.011,0.03,0.031,0.031,0.03,0.03,0.007,0.006,0.024,0.024,0.023,0.024,0.025,0.127,0.028,0.144,0.192,0.189,0.191,0.063,0.01,0.01,0.029,0.03,0.031,0.031,0.03,
747520,0.007,0.007,0.024,0.025,0.024,0.024,0.026,0.12,0.02,0.121,0.172,0.165,0.17,0.039,0.011,0.011,0.031,0.031,0.031,0.031,0.031,0.007,0.006,0.025,0.026,0.025,0.025,0.025,0.13,0.028,0.145,0.193,0.192,0.194,0.065,0.01,0.011,0.031,0.032,0.03,0.031,0.03,
757760,0.007,0.008,0.025,0.025,0.025,0.025,0.024,0.123,0.02,0.122,0.175,0.168,0.172,0.041,0.01,0.011,0.03,0.03,0.031,0.03,0.031,0.007,0.007,0.026,0.025,0.025,0.025,0.025,0.132,0.028,0.147,0.198,0.195,0.198,0.066,0.011,0.011,0.031,0.031,0.031,0.03,0.031,
768000,0.009,0.008,0.026,0.026,0.025,0.025,0.025,0.123,0.021,0.124,0.177,0.17,0.175,0.041,0.011,0.011,0.032,0.03,0.031,0.032,0.032,0.007,0.006,0.024,0.026,0.025,0.025,0.025,0.132,0.029,0.149,0.2,0.197,0.2,0.067,0.011,0.011,0.032,0.031,0.032,0.032,0.031,
778240,0.008,0.008,0.025,0.026,0.025,0.025,0.025,0.126,0.021,0.125,0.179,0.173,0.177,0.041,0.011,0.011,0.032,0.032,0.031,0.031,0.033,0.007,0.007,0.026,0.025,0.026,0.026,0.025,0.134,0.029,0.152,0.203,0.198,0.202,0.068,0.011,0.011,0.03,0.032,0.031,0.033,0.032,
